epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,70.2307,0.82134,0.92419,1.04503,0.59407,0.32592,0.25735,0.14587,2.00035,2.28904,1.62971,0.0008318,0.0008318,0.0008318
61,71.0706,0.78333,0.72603,0.96396,0.59407,0.32592,0.25735,0.14587,2.00035,2.28904,1.62971,0.000812,0.000812,0.000812
62,72.0032,0.81593,0.83007,1.05437,0.40291,0.33333,0.20966,0.10791,2.06217,2.41817,1.63316,0.0007922,0.0007922,0.0007922
63,72.8943,0.77703,0.76016,0.99233,0.40291,0.33333,0.20966,0.10791,2.06217,2.41817,1.63316,0.0007724,0.0007724,0.0007724
64,73.8027,0.87473,0.82164,1.03587,0.33051,0.33333,0.21298,0.10326,1.97635,2.48235,1.59891,0.0007526,0.0007526,0.0007526
65,74.6436,0.80464,0.7757,0.99839,0.33051,0.33333,0.21298,0.10326,1.97635,2.48235,1.59891,0.0007328,0.0007328,0.0007328
66,75.5822,0.87904,0.82575,1.02219,0.33727,0.33333,0.19288,0.0992,1.85554,2.32421,1.56072,0.000713,0.000713,0.000713
67,76.4267,0.79076,0.7662,1.00816,0.33727,0.33333,0.19288,0.0992,1.85554,2.32421,1.56072,0.0006932,0.0006932,0.0006932
68,77.3616,0.74853,0.76303,0.99687,0.42553,0.22222,0.21288,0.11148,1.86164,2.24283,1.60768,0.0006734,0.0006734,0.0006734
69,78.2257,0.92704,0.96764,1.05582,0.42553,0.22222,0.21288,0.11148,1.86164,2.24283,1.60768,0.0006536,0.0006536,0.0006536
70,79.2321,0.74217,0.79023,0.99393,0.31942,0.33333,0.29406,0.16908,1.83853,1.93476,1.56838,0.0006338,0.0006338,0.0006338
71,80.0278,0.91446,0.84541,1.0746,0.31942,0.33333,0.29406,0.16908,1.83853,1.93476,1.56838,0.000614,0.000614,0.000614
72,81.0029,0.9033,0.80452,1.03221,0.66301,0.32846,0.3651,0.22341,1.83384,1.85924,1.54869,0.0005942,0.0005942,0.0005942
73,81.9089,0.77612,0.74395,0.96183,0.66301,0.32846,0.3651,0.22341,1.83384,1.85924,1.54869,0.0005744,0.0005744,0.0005744
74,82.8319,0.83488,0.87434,1.01949,0.63815,0.33333,0.33771,0.206,1.78931,1.91602,1.53251,0.0005546,0.0005546,0.0005546
75,83.6498,0.73566,0.70566,0.93966,0.63815,0.33333,0.33771,0.206,1.78931,1.91602,1.53251,0.0005348,0.0005348,0.0005348
76,84.6078,0.74615,0.73025,1.01267,0.73476,0.33333,0.35057,0.2183,1.777,1.93331,1.56455,0.000515,0.000515,0.000515
77,85.4698,0.76355,0.70299,0.99456,0.73476,0.33333,0.35057,0.2183,1.777,1.93331,1.56455,0.0004952,0.0004952,0.0004952
78,86.437,0.69651,0.72757,0.96894,0.79306,0.27778,0.36171,0.22377,1.82812,1.93849,1.64271,0.0004754,0.0004754,0.0004754
79,87.2574,0.75542,0.75938,0.9814,0.79306,0.27778,0.36171,0.22377,1.82812,1.93849,1.64271,0.0004556,0.0004556,0.0004556
80,88.2874,0.79298,0.77703,0.99622,0.7981,0.27778,0.3563,0.21971,1.88232,1.94518,1.70477,0.0004358,0.0004358,0.0004358
81,89.1549,0.72782,0.7102,0.9363,0.7981,0.27778,0.3563,0.21971,1.88232,1.94518,1.70477,0.000416,0.000416,0.000416
82,90.0923,0.76527,0.68748,0.99342,0.80343,0.27778,0.36455,0.22267,1.93907,1.92852,1.75262,0.0003962,0.0003962,0.0003962
83,90.9692,0.67665,0.69272,0.9568,0.80343,0.27778,0.36455,0.22267,1.93907,1.92852,1.75262,0.0003764,0.0003764,0.0003764
84,91.9448,0.68503,0.67303,0.96837,0.81069,0.27778,0.37941,0.22028,1.97782,1.87272,1.77611,0.0003566,0.0003566,0.0003566
85,92.7869,0.77757,0.68027,0.97587,0.81069,0.27778,0.37941,0.22028,1.97782,1.87272,1.77611,0.0003368,0.0003368,0.0003368
86,93.669,0.74101,0.69827,0.98182,0.97874,0.33333,0.44676,0.20871,2.00034,1.81964,1.77722,0.000317,0.000317,0.000317
87,94.4959,0.73892,0.74956,0.97062,0.97874,0.33333,0.44676,0.20871,2.00034,1.81964,1.77722,0.0002972,0.0002972,0.0002972
88,95.4658,0.86719,0.71681,1.00098,0.98128,0.33333,0.4689,0.24025,1.97092,1.76851,1.74263,0.0002774,0.0002774,0.0002774
89,96.3262,0.73352,0.65441,0.98077,0.98128,0.33333,0.4689,0.24025,1.97092,1.76851,1.74263,0.0002576,0.0002576,0.0002576
